ID,n_generation,rank_G0,rank_G1,rank_G2,rank_G3,rank_G4,rank_G5,rank_G6
Hyena_030,2,8,NA,NA,NA,NA,NA,NA
Hyena_031,3,8,5,NA,NA,NA,NA,NA
Hyena_032,3,8,5,NA,NA,NA,NA,NA
Hyena_033,2,2,NA,NA,NA,NA,NA,NA
Hyena_034,2,13,NA,NA,NA,NA,NA,NA
Hyena_035,2,13,NA,NA,NA,NA,NA,NA
Hyena_036,2,1,NA,NA,NA,NA,NA,NA
Hyena_037,2,6,NA,NA,NA,NA,NA,NA
Hyena_038,2,11,NA,NA,NA,NA,NA,NA
Hyena_039,2,11,NA,NA,NA,NA,NA,NA
Hyena_040,2,1,NA,NA,NA,NA,NA,NA
Hyena_041,2,1,NA,NA,NA,NA,NA,NA
Hyena_042,2,13,NA,NA,NA,NA,NA,NA
Hyena_043,2,13,NA,NA,NA,NA,NA,NA
Hyena_044,2,9,NA,NA,NA,NA,NA,NA
Hyena_046,2,5,NA,NA,NA,NA,NA,NA
Hyena_047,2,8,NA,NA,NA,NA,NA,NA
Hyena_048,2,8,NA,NA,NA,NA,NA,NA
Hyena_049,3,3,NA,NA,NA,NA,NA,NA
Hyena_050,3,3,NA,NA,NA,NA,NA,NA
Hyena_051,2,11,NA,NA,NA,NA,NA,NA
Hyena_052,2,1,NA,NA,NA,NA,NA,NA
Hyena_053,2,8,NA,NA,NA,NA,NA,NA
Hyena_054,2,8,NA,NA,NA,NA,NA,NA
Hyena_055,2,3,NA,NA,NA,NA,NA,NA
Hyena_056,3,6,NA,NA,NA,NA,NA,NA
Hyena_057,3,6,NA,NA,NA,NA,NA,NA
Hyena_058,2,5,NA,NA,NA,NA,NA,NA
Hyena_059,2,5,NA,NA,NA,NA,NA,NA
Hyena_060,2,2,NA,NA,NA,NA,NA,NA
Hyena_061,3,8,2,NA,NA,NA,NA,NA
Hyena_062,2,13,NA,NA,NA,NA,NA,NA
Hyena_063,2,5,NA,NA,NA,NA,NA,NA
Hyena_064,2,11,NA,NA,NA,NA,NA,NA
Hyena_065,2,10,NA,NA,NA,NA,NA,NA
Hyena_066,2,9,NA,NA,NA,NA,NA,NA
Hyena_067,2,11,NA,NA,NA,NA,NA,NA
Hyena_068,2,1,NA,NA,NA,NA,NA,NA
Hyena_069,2,1,NA,NA,NA,NA,NA,NA
Hyena_070,2,4,NA,NA,NA,NA,NA,NA
Hyena_071,2,5,NA,NA,NA,NA,NA,NA
Hyena_072,2,5,NA,NA,NA,NA,NA,NA
Hyena_073,3,12,13,NA,NA,NA,NA,NA
Hyena_074,2,3,NA,NA,NA,NA,NA,NA
Hyena_075,2,3,NA,NA,NA,NA,NA,NA
Hyena_076,2,7,NA,NA,NA,NA,NA,NA
Hyena_077,2,7,NA,NA,NA,NA,NA,NA
Hyena_078,3,10,2,NA,NA,NA,NA,NA
Hyena_079,3,10,2,NA,NA,NA,NA,NA
Hyena_080,2,13,NA,NA,NA,NA,NA,NA
Hyena_081,2,13,NA,NA,NA,NA,NA,NA
Hyena_082,2,4,NA,NA,NA,NA,NA,NA
Hyena_083,2,4,NA,NA,NA,NA,NA,NA
Hyena_084,3,2,5,NA,NA,NA,NA,NA
Hyena_085,3,2,5,NA,NA,NA,NA,NA
Hyena_086,2,14,NA,NA,NA,NA,NA,NA
Hyena_087,3,16,13,NA,NA,NA,NA,NA
Hyena_088,2,17,NA,NA,NA,NA,NA,NA
Hyena_089,2,17,NA,NA,NA,NA,NA,NA
Hyena_090,2,1,NA,NA,NA,NA,NA,NA
Hyena_091,2,1,NA,NA,NA,NA,NA,NA
Hyena_092,2,3,NA,NA,NA,NA,NA,NA
Hyena_093,3,11,1,NA,NA,NA,NA,NA
Hyena_094,2,5,NA,NA,NA,NA,NA,NA
Hyena_095,2,8,NA,NA,NA,NA,NA,NA
Hyena_096,2,5,NA,NA,NA,NA,NA,NA
Hyena_097,4,12,6,NA,NA,NA,NA,NA
Hyena_098,4,12,6,NA,NA,NA,NA,NA
Hyena_099,3,3,5,NA,NA,NA,NA,NA
Hyena_100,3,3,5,NA,NA,NA,NA,NA
Hyena_101,2,14,NA,NA,NA,NA,NA,NA
Hyena_102,2,14,NA,NA,NA,NA,NA,NA
Hyena_103,3,2,1,NA,NA,NA,NA,NA
Hyena_104,3,2,1,NA,NA,NA,NA,NA
Hyena_105,2,6,NA,NA,NA,NA,NA,NA
Hyena_106,2,1,NA,NA,NA,NA,NA,NA
Hyena_107,2,1,NA,NA,NA,NA,NA,NA
Hyena_108,3,13,2,NA,NA,NA,NA,NA
Hyena_109,3,20,13,NA,NA,NA,NA,NA
Hyena_110,4,12,6,NA,NA,NA,NA,NA
Hyena_111,3,7,8,NA,NA,NA,NA,NA
Hyena_112,2,6,NA,NA,NA,NA,NA,NA
