ID,n_generation,rank_G0,rank_G1,rank_G2,rank_G3,rank_G4
Hyena_027,2,NA,NA,NA,NA,NA
Hyena_033,2,2,NA,NA,NA,NA
Hyena_039,2,11,NA,NA,NA,NA
Hyena_044,2,9,NA,NA,NA,NA
Hyena_051,2,11,NA,NA,NA,NA
Hyena_052,2,1,NA,NA,NA,NA
Hyena_053,2,8,NA,NA,NA,NA
Hyena_055,2,3,NA,NA,NA,NA
Hyena_058,2,5,NA,NA,NA,NA
Hyena_059,2,5,NA,NA,NA,NA
Hyena_060,2,2,NA,NA,NA,NA
Hyena_063,2,5,NA,NA,NA,NA
Hyena_064,2,11,NA,NA,NA,NA
Hyena_065,2,10,NA,NA,NA,NA
Hyena_066,3,9,NA,NA,NA,NA
Hyena_067,2,11,NA,NA,NA,NA
Hyena_068,2,1,NA,NA,NA,NA
Hyena_070,2,4,NA,NA,NA,NA
Hyena_071,2,5,NA,NA,NA,NA
Hyena_072,2,5,NA,NA,NA,NA
Hyena_073,2,12,NA,NA,NA,NA
Hyena_074,2,3,NA,NA,NA,NA
Hyena_076,2,7,NA,NA,NA,NA
Hyena_077,2,7,NA,NA,NA,NA
Hyena_078,2,10,NA,NA,NA,NA
Hyena_079,2,10,NA,NA,NA,NA
Hyena_080,2,13,NA,NA,NA,NA
Hyena_081,2,13,NA,NA,NA,NA
Hyena_084,2,2,NA,NA,NA,NA
Hyena_085,2,2,NA,NA,NA,NA
Hyena_086,2,14,NA,NA,NA,NA
Hyena_087,2,16,NA,NA,NA,NA
Hyena_088,2,17,NA,NA,NA,NA
Hyena_089,2,17,NA,NA,NA,NA
Hyena_091,2,1,NA,NA,NA,NA
Hyena_092,2,3,NA,NA,NA,NA
Hyena_093,2,11,NA,NA,NA,NA
Hyena_094,2,5,NA,NA,NA,NA
Hyena_095,2,8,NA,NA,NA,NA
Hyena_097,2,12,NA,NA,NA,NA
Hyena_098,2,12,NA,NA,NA,NA
Hyena_099,2,3,NA,NA,NA,NA
Hyena_100,2,3,NA,NA,NA,NA
Hyena_103,3,2,NA,NA,NA,NA
Hyena_106,2,1,NA,NA,NA,NA
Hyena_110,2,12,NA,NA,NA,NA
Hyena_111,3,7,6,NA,NA,NA
Hyena_112,2,6,NA,NA,NA,NA
Hyena_113,2,6,NA,NA,NA,NA
Hyena_114,3,20,9,NA,NA,NA
Hyena_121,2,3,NA,NA,NA,NA
Hyena_125,2,7,NA,NA,NA,NA
Hyena_126,3,11,1,NA,NA,NA
Hyena_128,2,3,NA,NA,NA,NA
Hyena_129,2,14,NA,NA,NA,NA
Hyena_130,3,10,6,NA,NA,NA
Hyena_131,3,10,6,NA,NA,NA
Hyena_132,2,9,NA,NA,NA,NA
Hyena_133,2,2,NA,NA,NA,NA
Hyena_134,2,2,NA,NA,NA,NA
Hyena_138,3,20,6,NA,NA,NA
Hyena_140,2,3,NA,NA,NA,NA
Hyena_141,2,3,NA,NA,NA,NA
Hyena_142,3,20,4,NA,NA,NA
Hyena_144,2,24,NA,NA,NA,NA
Hyena_145,3,5,6,NA,NA,NA
Hyena_146,2,5,NA,NA,NA,NA
Hyena_147,2,5,NA,NA,NA,NA
Hyena_150,3,16,9,NA,NA,NA
Hyena_152,3,11,1,NA,NA,NA
Hyena_153,3,14,1,NA,NA,NA
Hyena_155,2,20,NA,NA,NA,NA
Hyena_156,2,17,NA,NA,NA,NA
Hyena_159,3,4,1,NA,NA,NA
Hyena_161,2,13,NA,NA,NA,NA
Hyena_162,2,13,NA,NA,NA,NA
Hyena_167,3,3,4,NA,NA,NA
Hyena_168,2,1,NA,NA,NA,NA
Hyena_169,2,22,NA,NA,NA,NA
Hyena_170,3,9,6,NA,NA,NA
Hyena_171,2,16,NA,NA,NA,NA
Hyena_172,2,16,NA,NA,NA,NA
Hyena_173,3,17,7,NA,NA,NA
Hyena_174,3,9,9,NA,NA,NA
Hyena_175,3,2,7,NA,NA,NA
Hyena_176,2,11,NA,NA,NA,NA
Hyena_177,3,8,7,NA,NA,NA
Hyena_178,2,19,NA,NA,NA,NA
Hyena_179,2,18,NA,NA,NA,NA
Hyena_180,2,18,NA,NA,NA,NA
Hyena_181,3,3,7,NA,NA,NA
Hyena_183,3,2,7,NA,NA,NA
Hyena_184,3,2,7,NA,NA,NA
Hyena_185,2,10,NA,NA,NA,NA
Hyena_186,2,10,NA,NA,NA,NA
Hyena_187,2,4,NA,NA,NA,NA
Hyena_189,2,20,NA,NA,NA,NA
Hyena_191,3,19,1,NA,NA,NA
Hyena_193,2,7,NA,NA,NA,NA
Hyena_194,2,7,NA,NA,NA,NA
Hyena_196,3,17,4,NA,NA,NA
Hyena_198,3,18,1,NA,NA,NA
Hyena_199,3,18,1,NA,NA,NA
Hyena_200,4,18,5,11,NA,NA
Hyena_201,3,19,1,NA,NA,NA
Hyena_202,2,8,NA,NA,NA,NA
Hyena_203,2,8,NA,NA,NA,NA
Hyena_204,4,15,5,11,NA,NA
Hyena_205,4,2,1,7,NA,NA
Hyena_206,3,2,13,1,NA,NA
Hyena_207,4,5,5,11,NA,NA
Hyena_210,3,3,13,1,NA,NA
Hyena_211,3,3,7,NA,NA,NA
Hyena_212,3,9,13,1,NA,NA
Hyena_213,3,9,13,1,NA,NA
Hyena_219,4,14,1,7,NA,NA
Hyena_220,4,14,1,7,NA,NA
Hyena_221,3,8,7,NA,NA,NA
Hyena_222,2,22,NA,NA,NA,NA
Hyena_223,2,22,NA,NA,NA,NA
Hyena_224,2,12,NA,NA,NA,NA
Hyena_225,2,20,NA,NA,NA,NA
Hyena_226,2,20,NA,NA,NA,NA
Hyena_227,4,5,1,5,NA,NA
Hyena_228,4,5,1,5,NA,NA
Hyena_229,4,24,5,11,NA,NA
Hyena_230,2,24,NA,NA,NA,NA
Hyena_231,2,10,NA,NA,NA,NA
